epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
13,6699,,,3.009831190109253,,
13,6749,,,2.972059965133667,,
13,6799,,,2.8163812160491943,,
13,6849,,,2.9422292709350586,,
13,6899,,,2.9590373039245605,,
13,6949,,,2.9612622261047363,,
13,6999,,,2.890213966369629,,
13,7049,,,2.759963274002075,,
13,7099,,,2.9092328548431396,,
13,7149,,,2.580127239227295,,
13,7199,,,2.791846752166748,,
13,7209,,,,26.423269271850586,26.423269271850586
14,7249,,,2.7673747539520264,,
14,7299,,,2.7080273628234863,,
14,7349,,,2.59226393699646,,
14,7399,,,3.114917755126953,,
14,7449,,,2.7789182662963867,,
14,7499,,,2.906895399093628,,
14,7549,,,2.867443323135376,,
14,7599,,,2.5002450942993164,,
14,7649,,,2.5790328979492188,,
14,7699,,,2.825232744216919,,
14,7724,,,,8.890300750732422,8.890300750732422
15,7749,,,2.9677555561065674,,
15,7799,,,2.8483781814575195,,
15,7849,,,2.819174289703369,,
15,7899,,,2.6983394622802734,,
15,7949,,,2.75892972946167,,
15,7999,,,2.772270441055298,,
15,8049,,,2.6227710247039795,,
15,8099,,,2.5620949268341064,,
15,8149,,,3.0693776607513428,,
15,8199,,,2.803926944732666,,
15,8239,,,,8.253751754760742,8.253751754760742
16,8249,,,2.949399471282959,,
16,8299,,,2.5732388496398926,,
16,8349,,,3.3625640869140625,,
16,8399,,,2.571578025817871,,
16,8449,,,2.8427224159240723,,
16,8499,,,2.703345775604248,,
16,8549,,,2.6456732749938965,,
16,8599,,,3.027900457382202,,
16,8649,,,2.606243371963501,,
16,8699,,,2.8017401695251465,,
16,8749,,,3.020580768585205,,
16,8754,,,,15.384878158569336,15.384878158569336
17,8799,,,2.28005313873291,,
17,8849,,,2.6416306495666504,,
17,8899,,,2.774773597717285,,
17,8949,,,2.5951011180877686,,
17,8999,,,2.861741065979004,,
17,9049,,,2.802070140838623,,
17,9099,,,2.714688777923584,,
17,9149,,,2.67226243019104,,
