epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
18,9549,,,3.602100133895874,,
18,9599,,,4.281203746795654,,
18,9649,,,4.106394290924072,,
18,9699,,,3.8732762336730957,,
18,9749,,,3.8003063201904297,,
18,9799,,,4.062641143798828,,
18,9849,,,3.727426052093506,,
18,9899,,,3.865614891052246,,
18,9949,,,4.110982894897461,,
18,9999,,,3.5760698318481445,,
18,10012,,,,3.9219675064086914,3.9219675064086914
19,10049,,,3.778045177459717,,
19,10099,,,3.6406173706054688,,
19,10149,,,3.8620619773864746,,
19,10199,,,3.41402530670166,,
19,10249,,,3.761693000793457,,
19,10299,,,3.7138986587524414,,
19,10349,,,4.016193389892578,,
19,10399,,,4.103873252868652,,
19,10449,,,3.6673743724823,,
19,10499,,,3.894972801208496,,
19,10539,,,,3.840576410293579,3.840576410293579
20,10540,3.841168165206909,3.841168165206909,,,
